Sample	hic	loops	cis
sample1	example_hic/sample1.hic	example_loops/sample1_loops.bedpe	62392910
sample3	example_hic/sample3.hic	example_loops/sample3_loops.bedpe	106429140
sample5	example_hic/sample5.hic	example_loops/sample5_loops.bedpe	309557957
sample7	example_hic/sample7.hic	example_loops/sample7_loops.bedpe	91097755
sample10	example_hic/sample10.hic	example_loops/sample10_loops.bedpe	294491793
sample12	example_hic/sample12.hic	example_loops/sample12_loops.bedpe	68389886
sample14	example_hic/sample14.hic	example_loops/sample14_loops.bedpe	191610452
sample17	example_hic/sample17.hic	example_loops/sample17_loops.bedpe	246723335
sample20	example_hic/sample20.hic	example_loops/sample20_loops.bedpe	200965562
sample23	example_hic/sample23.hic	example_loops/sample23_loops.bedpe	235182047
